Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
392.7015,54.48532,160.50188,0,2014-09-06 02:07:25.710,2014,9,6
393.74164,54.482136,160.53796,0,2014-09-06 02:07:25.730,2014,9,6
394.21582,54.503334,160.51003,0,2014-09-06 02:07:26.020,2014,9,6
394.28003,54.501705,160.52809,0,2014-09-06 02:07:26.030,2014,9,6
394.20456,54.499992,160.54617,0,2014-09-06 02:07:26.040,2014,9,6
393.2188,54.49823,160.56404,0,2014-09-06 02:07:26.050,2014,9,6
394.85815,54.496372,160.58192,0,2014-09-06 02:07:26.060,2014,9,6
393.90588,54.517803,160.55418,0,2014-09-06 02:07:26.350,2014,9,6
394.60062,54.51595,160.57208,0,2014-09-06 02:07:26.360,2014,9,6
395.49875,54.511967,160.60768,0,2014-09-06 02:07:26.380,2014,9,6
394.36743,54.53555,160.5622,0,2014-09-06 02:07:26.760,2014,9,6
393.93088,54.533607,160.58002,0,2014-09-06 02:07:26.770,2014,9,6
393.83713,54.555153,160.55229,0,2014-09-06 02:07:27.060,2014,9,6
394.54865,54.553215,160.57013,0,2014-09-06 02:07:27.070,2014,9,6
395.51205,54.551186,160.58792,0,2014-09-06 02:07:27.080,2014,9,6
393.01822,54.886314,160.40047,0,2014-09-06 02:07:32.770,2014,9,6
393.28864,54.88434,160.41843,0,2014-09-06 02:07:32.780,2014,9,6
392.847,54.907837,160.37244,0,2014-09-06 02:07:33.060,2014,9,6
390.90054,54.90596,160.39047,0,2014-09-06 02:07:33.070,2014,9,6
392.39923,54.92363,160.39845,0,2014-09-06 02:07:33.380,2014,9,6
391.20297,55.32111,160.14104,0,2014-09-06 02:07:40.050,2014,9,6
393.0171,55.337177,160.1673,0,2014-09-06 02:07:40.370,2014,9,6
394.4144,55.335266,160.1855,0,2014-09-06 02:07:40.380,2014,9,6
394.17422,55.3664,160.04663,0,2014-09-06 02:07:40.710,2014,9,6
395.4509,55.364986,160.06511,0,2014-09-06 02:07:40.720,2014,9,6
394.01276,55.36349,160.08365,0,2014-09-06 02:07:40.730,2014,9,6
394.7473,55.385944,160.03636,0,2014-09-06 02:07:41.010,2014,9,6
394.00766,55.384533,160.05484,0,2014-09-06 02:07:41.020,2014,9,6
395.07794,57.3761,158.95622,0,2014-09-06 02:08:15.020,2014,9,6
394.77362,57.416122,158.91399,0,2014-09-06 02:08:15.710,2014,9,6
394.78244,57.413868,158.95331,0,2014-09-06 02:08:15.730,2014,9,6
394.0777,57.453026,158.9308,0,2014-09-06 02:08:16.330,2014,9,6
393.21497,57.47252,158.9195,0,2014-09-06 02:08:16.730,2014,9,6
393.6399,57.469963,158.95871,0,2014-09-06 02:08:16.750,2014,9,6
393.71225,57.46548,159.0171,0,2014-09-06 02:08:16.780,2014,9,6
394.33582,57.49422,158.86873,0,2014-09-06 02:08:17.010,2014,9,6
393.0416,57.493137,158.8884,0,2014-09-06 02:08:17.020,2014,9,6
394.09268,57.49197,158.90813,0,2014-09-06 02:08:17.030,2014,9,6
392.9823,57.489418,158.94739,0,2014-09-06 02:08:17.050,2014,9,6
393.54553,57.48653,158.98639,0,2014-09-06 02:08:17.070,2014,9,6
394.35187,57.511417,158.89676,0,2014-09-06 02:08:17.330,2014,9,6
393.90268,57.507477,158.95558,0,2014-09-06 02:08:17.360,2014,9,6
392.94458,57.504414,158.9945,0,2014-09-06 02:08:17.380,2014,9,6
393.02185,57.53316,158.84593,0,2014-09-06 02:08:17.710,2014,9,6
392.71152,57.530945,158.88538,0,2014-09-06 02:08:17.730,2014,9,6
392.51837,57.529716,158.90514,0,2014-09-06 02:08:17.740,2014,9,6
393.7372,57.528427,158.92468,0,2014-09-06 02:08:17.750,2014,9,6
393.80304,57.527046,158.94423,0,2014-09-06 02:08:17.760,2014,9,6
393.73328,57.525574,158.96373,0,2014-09-06 02:08:17.770,2014,9,6
393.86005,57.55273,158.83452,0,2014-09-06 02:08:18.010,2014,9,6
394.5144,57.55167,158.85422,0,2014-09-06 02:08:18.020,2014,9,6
393.78418,57.55052,158.874,0,2014-09-06 02:08:18.030,2014,9,6
393.3087,57.549294,158.89375,0,2014-09-06 02:08:18.040,2014,9,6
392.443,57.54801,158.91331,0,2014-09-06 02:08:18.050,2014,9,6
393.8607,57.546635,158.93288,0,2014-09-06 02:08:18.060,2014,9,6
393.51013,57.545162,158.9524,0,2014-09-06 02:08:18.070,2014,9,6
393.42578,57.543594,158.97185,0,2014-09-06 02:08:18.080,2014,9,6
393.81232,57.5723,158.82309,0,2014-09-06 02:08:18.310,2014,9,6
394.2881,57.57124,158.8428,0,2014-09-06 02:08:18.320,2014,9,6
394.19522,57.570095,158.86258,0,2014-09-06 02:08:18.330,2014,9,6
393.8159,57.568874,158.88235,0,2014-09-06 02:08:18.340,2014,9,6
393.7462,57.567593,158.90193,0,2014-09-06 02:08:18.350,2014,9,6
394.03995,57.56622,158.92151,0,2014-09-06 02:08:18.360,2014,9,6
392.99637,57.56475,158.94102,0,2014-09-06 02:08:18.370,2014,9,6
394.24478,57.563183,158.9605,0,2014-09-06 02:08:18.380,2014,9,6
393.66818,57.591797,158.81163,0,2014-09-06 02:08:18.710,2014,9,6
394.0815,57.590725,158.83136,0,2014-09-06 02:08:18.720,2014,9,6
394.39224,57.58957,158.85115,0,2014-09-06 02:08:18.730,2014,9,6
393.44995,57.588337,158.87093,0,2014-09-06 02:08:18.740,2014,9,6
393.16965,57.587048,158.89052,0,2014-09-06 02:08:18.750,2014,9,6
394.77917,57.585663,158.9101,0,2014-09-06 02:08:18.760,2014,9,6
393.62622,57.584187,158.92963,0,2014-09-06 02:08:18.770,2014,9,6
394.51468,57.58261,158.94911,0,2014-09-06 02:08:18.780,2014,9,6
393.9576,57.611202,158.80014,0,2014-09-06 02:08:19.010,2014,9,6
394.45673,57.610138,158.81989,0,2014-09-06 02:08:19.020,2014,9,6
394.39914,57.608986,158.83969,0,2014-09-06 02:08:19.030,2014,9,6
393.19202,57.607758,158.85948,0,2014-09-06 02:08:19.040,2014,9,6
394.33057,57.60647,158.87907,0,2014-09-06 02:08:19.050,2014,9,6
392.68677,57.605087,158.89868,0,2014-09-06 02:08:19.060,2014,9,6
393.90872,57.60361,158.91821,0,2014-09-06 02:08:19.070,2014,9,6
396.0806,57.63061,158.78865,0,2014-09-06 02:08:19.310,2014,9,6
393.67023,57.629547,158.80841,0,2014-09-06 02:08:19.320,2014,9,6
393.3276,57.6284,158.82822,0,2014-09-06 02:08:19.330,2014,9,6
391.8845,57.627174,158.84802,0,2014-09-06 02:08:19.340,2014,9,6
394.25452,57.62589,158.86763,0,2014-09-06 02:08:19.350,2014,9,6
394.04633,57.62451,158.88724,0,2014-09-06 02:08:19.360,2014,9,6
394.35532,57.62304,158.9068,0,2014-09-06 02:08:19.370,2014,9,6
393.89603,57.621475,158.9263,0,2014-09-06 02:08:19.380,2014,9,6
392.65848,57.65002,158.77713,0,2014-09-06 02:08:19.710,2014,9,6
